Image,mean_zero_planes
1493.pgm,5.41534423828125
1494.pgm,4.671875
1495.pgm,3.93682861328125
1496.pgm,5.02557373046875
1497.pgm,4.74560546875
1498.pgm,3.906494140625
1499.pgm,4.662109375
15.pgm,6.016357421875
150.pgm,4.817626953125
1500.pgm,4.77166748046875
1501.pgm,4.79278564453125
1502.pgm,5.06964111328125
1503.pgm,4.89202880859375
1504.pgm,5.428466796875
1505.pgm,3.47943115234375
1506.pgm,5.018310546875
1507.pgm,4.960693359375
1508.pgm,4.93048095703125
1509.pgm,5.33209228515625
151.pgm,5.87255859375
1510.pgm,5.1585693359375
1511.pgm,4.66888427734375
1512.pgm,4.59912109375
1513.pgm,5.114501953125
1514.pgm,4.91278076171875
1515.pgm,6.20281982421875
1516.pgm,5.70758056640625
1517.pgm,4.88433837890625
1518.pgm,5.35986328125
1519.pgm,5.03643798828125
152.pgm,4.359130859375
1520.pgm,5.5384521484375
1521.pgm,4.98907470703125
1522.pgm,4.3895263671875
1523.pgm,5.0128173828125
1524.pgm,6.3021240234375
1525.pgm,5.53875732421875
1526.pgm,3.290283203125
1527.pgm,4.60772705078125
1528.pgm,6.36920166015625
1529.pgm,4.9609375
153.pgm,5.21002197265625
1530.pgm,4.6617431640625
1531.pgm,5.109619140625
1532.pgm,5.67626953125
1533.pgm,6.09149169921875
1534.pgm,5.1375732421875
1535.pgm,5.453857421875
1536.pgm,5.4271240234375
1537.pgm,3.94921875
1538.pgm,4.9971923828125
1539.pgm,4.80877685546875
154.pgm,5.2078857421875
1540.pgm,4.986328125
1541.pgm,4.7257080078125
1542.pgm,4.69866943359375
1543.pgm,4.40631103515625
1544.pgm,4.64178466796875
1545.pgm,4.788330078125
1546.pgm,4.7005615234375
1547.pgm,5.10894775390625
1548.pgm,4.9176025390625
1549.pgm,5.08819580078125
155.pgm,4.092041015625
1550.pgm,4.674072265625
1551.pgm,4.64910888671875
1552.pgm,3.99688720703125
1553.pgm,4.719482421875
1554.pgm,5.0048828125
1555.pgm,4.8233642578125
1556.pgm,5.1346435546875
1557.pgm,4.50616455078125
1558.pgm,4.92596435546875
1559.pgm,5.29443359375
156.pgm,4.1407470703125
1560.pgm,4.75958251953125
1561.pgm,5.0230712890625
1562.pgm,5.07666015625
1563.pgm,4.768798828125
1564.pgm,4.74542236328125
1565.pgm,5.240966796875
1566.pgm,4.61041259765625
1567.pgm,4.061279296875
1568.pgm,5.11749267578125
1569.pgm,4.57183837890625
157.pgm,4.49029541015625
1570.pgm,3.2630615234375
1571.pgm,4.7659912109375
1572.pgm,2.46759033203125
1573.pgm,4.891357421875
1574.pgm,5.2606201171875
1575.pgm,5.136962890625
1576.pgm,4.6131591796875
1577.pgm,4.689697265625
1578.pgm,5.47662353515625
1579.pgm,2.33587646484375
158.pgm,4.8494873046875
1580.pgm,4.60845947265625
1581.pgm,4.77947998046875
1582.pgm,4.724853515625
1583.pgm,5.38299560546875
1584.pgm,4.74517822265625
1585.pgm,4.033203125
1586.pgm,6.01788330078125
1587.pgm,5.078857421875
1588.pgm,4.6973876953125
1589.pgm,4.5693359375
159.pgm,4.976318359375
1590.pgm,5.6707763671875
1591.pgm,4.7523193359375
1592.pgm,5.23492431640625
1593.pgm,5.0157470703125
1594.pgm,4.52203369140625
1595.pgm,5.28326416015625
1596.pgm,5.23162841796875
1597.pgm,4.9766845703125
1598.pgm,4.095458984375
1599.pgm,5.26043701171875
16.pgm,5.17584228515625
